PRODUCT NAME,,CONTACT INFO,,,,,,
APPROVED BY,,,,,,,,
DATE OF APPROVAL,,,,,,,,
PART COUNT,76,,,,,,,
TOTAL COST,$753.81,,,,,,,
,,,,,,,,
Mechanical Items,,,,,,,,
2223,GPIO Stacking Header,Allows access to other pins with Pi HAT on the PI.,Purchase Link,Adafruit,Adafruit,2,$2.95,$5.90
619659193409,64GB MicroSD Card,To load Pi OS onto the Raspberry Pi.,Purchase Link,Amazon,SanDisk,1,$23.99,$23.99
XSL-GaN-27W,Raspberry Pi 5 Power Supply,To power the Pi when not used in testing device.,Purchase Link,Amazon,iUniker,1,$12.99,$12.99
221-413,WAGO 3 Wire Lever Connector,To splice wires.,Purchase Link,Grainger,WAGO,4,$1.72,$6.88
,,,,,ELECTRICAL PARTS,18, SUB TOTAL,$366.12
,,,,,TOTAL PARTS,76,TOTAL,$753.81
,,,,,,,,
,,,,,ELECTRICAL PARTS,18, SUB TOTAL,$366.12
,,,,,MECHANICAL PARTS,58,SUB TOTAL,$387.69
,,,,,CONTINGENCY,0,SUB TOTAL,$500.00
,,,,,TOTAL PARTS,76,TOTAL,"$1,253.81"
